n_identities,naive_success_prob,topichash_success_prob
1,1.9073486328125e-06,3.814697265625e-06
2,3.814697265625e-06,3.814697265625e-06
3,7.62939453125e-06,3.814697265625e-06
4,1.52587890625e-05,3.814697265625e-06
5,3.0517578125e-05,3.814697265625e-06
6,6.103515625e-05,3.814697265625e-06
7,0.0001220703125,3.814697265625e-06
8,0.000244140625,3.814697265625e-06
9,0.00048828125,3.814697265625e-06
10,0.0009765625,3.814697265625e-06
11,0.001953125,3.814697265625e-06
12,0.00390625,3.814697265625e-06
13,0.0078125,3.814697265625e-06
14,0.015625,3.814697265625e-06
15,0.03125,3.814697265625e-06
16,0.0625,3.814697265625e-06
17,0.125,3.814697265625e-06
18,0.25,3.814697265625e-06
19,0.5,3.814697265625e-06
20,1.0,3.814697265625e-06
